Unnamed: 0,asin,description,emotion_spacy,most_significant_emotion_spacy
24841,B000GB7E5C,cd x fusion music upscen track upc,"Counter({'positive': 1, 'sadness': 1, 'anticipation': 1})",positive
24862,B000GBIXUM,select includ danc like drive jersey gross south halloween see mari kelli set bert kathi wed song seet august ladi minnow namarua wast land wish,"Counter({'positive': 2, 'disgust': 1})",positive
24864,B000GBQ9MG,track total china grove smokin boy room hot blood rock roll fantasi must got lost train train ride captain ride rock roll oh atlanta school let go woman tokyo feel free ride hold line bring cat scratch fever readi fear reaper babi hold evil way hold head come get love ridin storm go way green eye ladi good sixteen got name american pie sharona heart glass proud mari lonesom loser sad eye rock roll heaven,"Counter({'positive': 5, 'anticipation': 3, 'negative': 3, 'sadness': 2, 'trust': 2, 'fear': 2, 'anger': 1})",positive
24876,B000GDBUVO,carri take heart til last teardrop fall find love never tell blue monday love make love get insid dream danni boy,"Counter({'positive': 3, 'sadness': 2, 'negative': 1})",positive
24890,B000GDTJ6C,record park europa film studio produc sonet grammofon cd includ song town fire ice cut corner flash night cri softli tri like morn song dancer love walk door raini day watch julietta flash night remix medley,"Counter({'positive': 2, 'fear': 1, 'anticipation': 1})",positive
24906,B000GDYROG,cd kinda crazi kak zhe tak mozhet byt mirazh everytim honesti come back could lead someth unless talk molitva dream feat mikhail veselov dvd pal video clip live perfom photo galleri video dream kinda crazi faith foto,"Counter({'positive': 2, 'anticipation': 2})",positive
24909,B000GDYR4Q,societi seven live record live outrigg hotel hawaii societi seven toni ruivivar roy guerzo wayn wakai hoku low toni davich bert sagum gari bautista saint go march sing sing sing swing let bring love la vega impress medley viva la vega begin beguin feel good take eye back feet crazi taco bell way beauti maria soul bela maria de mi alma mambo medley para lo rhumbero que rico el mambo top temptat medley reach get readi babi need lovin girl help sugar pie honey bunch get next phantom opera medley ask phantom opera music night ask repris ke kali nei au hawaiian wed song ke aloha aku au fall love,"Counter({'positive': 10, 'anticipation': 9, 'sadness': 2, 'negative': 1, 'fear': 1})",positive
24918,B000GE9WZE,room sarah latest collect intim self portrait music window offer glimps room life contain say littl part rare wonder opportun get know charm spirit gift artist sister christ featur sarah joyou folk pop style poetic introspect lyric room impress spiritu depth sophist multi layer tightli produc sound highlight includ littl hauntingli tender piano ballad lullabi captur bittersweet pang everi mother experi hold sleep newborn co written texa rocker curti stephan also provid edgi harmoni song lord poignant duet plead god help superb new set psalm featur ether guitar work legendari phil keaggi hillsid eeri fantast music depict soul restless journey cloud shadow contrari wind world special contributor includ scott dent grey mark hill jerri mcpherson dave cleveland jeff roach ken lewi listen enter room sarah music help feel like part famili like unexpect guest receiv gener hospit visit hear sing god merci leav littl happier littl sure alon spiritu journey,"Counter({'positive': 11, 'anticipation': 7, 'trust': 4, 'sadness': 3, 'surprise': 1})",positive
24921,B000GEEAM4,track list let go w tym gaiku mountain polka happi musician kurka jajko zgubila oberek jesusita en chihuahua haystack kare kone play violin fiddler polka open window medley pragna oczka johnni knock build home waltz happi gypsi appl peach medley,"Counter({'positive': 3, 'anticipation': 2})",positive
24930,B000GEZWJ4,land thel ive least spring water canticl free believ love veni creator spiritu sing joy tend rest love everi age litani saint tabl lord bless us peac song simeon alleluia festival mystagogia,"Counter({'positive': 5, 'anticipation': 4, 'trust': 1})",positive
24933,B000GF367S,intro with feather cliff palac alto valley precio water nescaf sacr fire hous spirit ceremoni tower stone dream catchesr red tower napo jungl moctezuma scorpio gemeni hous spirit remix,"Counter({'positive': 4, 'negative': 3, 'fear': 2})",positive
24935,B000GF3QDM,surround song deliver move new level worship enjoy tradit hymn includ amaz grace well soul near cross eye sparrow higher ground heal water flow three cd,"Counter({'positive': 3, 'trust': 3, 'anticipation': 3, 'sadness': 1})",positive
24953,B000GFYGWW,could danc night love care oh dear matter alexand ragtim band without new go lion cage tonight light silveri moon burlington berti bow love honeysuckl bee baubl bangl bead everybodi doin smarti long go threw overal mistress murphi chowder wait know time piti censur,"Counter({'positive': 5, 'anticipation': 3, 'sadness': 1, 'anger': 1, 'disgust': 1, 'fear': 1})",positive
24957,B000GFZPYK,doubl cd comedi releas bubba love spong entitl todd clem project,Counter({'positive': 1}),positive
24987,B000GHEQKW,baietii si fetel ce vor doar clipa pentru tine asculta ti inima problema ta voi fi cu tine littl love un minut secunda put spell ramai cu mine daca esti langa mine fac doar ce vreau sarutul noptilor de rai,Counter({'positive': 1}),positive
24998,B000GI1KWS,includ cd golden oldi ballad hard time blue ecolog dream fantasi gospel freedom lullabi love mountain voic creativ peac etc book,"Counter({'positive': 2, 'anticipation': 2, 'trust': 2, 'sadness': 1})",positive
25002,B000GIJ6GA,moss music group lscd latitud latitud ben verderi guitar craig peyton fairlight iii vibe heart glanc wing prayer boy fortun spring train open water privat island rock pool dream cloud danc,"Counter({'positive': 2, 'sadness': 1, 'negative': 1})",positive
25021,B000GJZF3M,man love woman steve wingfield sold amazon com product manufactur demand use cd r record media amazon com standard return polici appli,"Counter({'positive': 1, 'negative': 1})",positive
25023,B000GK4FFA,tast classic audio cd patrick kavanaugh christian perform artist fellowship asaph ensembl,Counter({'positive': 2}),positive
25029,B000GKQHJW,soft classic music song,"Counter({'positive': 1, 'sadness': 1})",positive
25040,B000GLFKFI,king got ta gun betti krocker punk rocker banana prozac defens orbit gilligan special guest joey ramon pumpkinhead sorri ass sucker take life pleas abduct counselor troi boy toy phaser ten burger king dead roy lichtenstein french mistak,"Counter({'positive': 3, 'negative': 3, 'trust': 1})",positive
25059,B000GOBBQC,walli gonzal low rider hit exito includ taco kid low rider beef salvador val roysal co collector seri vol kicker tonight taco kid tu tu cb la mujer la novela el tiquetito el chequ el borrachito su low rider soy el viejon la vecina de el viejon beef mari tu ere la ma bonita ya borracho que hora son el dia de tu boda la copetona polka el guajolot polka arroz con pollo polka el espinado choti salvador val el areoplanito low rider,"Counter({'positive': 4, 'trust': 2, 'negative': 1})",positive
25068,B000GOWI46,ntjilo ntjil ave maria aria suit prelud suit allegro suit jesu joy man desir ground bass paul steepl tollett ground ground bass aria merci lord matthew passion allegro sonata min concerto g min harpsichord guitar concerto allegro guitar concerto largo guitar concerto allegro allemand french suit,"Counter({'positive': 5, 'trust': 5, 'anticipation': 1})",positive
25070,B000GOYC18,born dream fli fli fli take fli ballad billi mitchel thank greatest let fli nothin like answer plain mind fli mechan romp th fli repris bor dream final,Counter({'positive': 2}),positive
25084,B000GPYX6Q,classic interpret queen classic flash play game champion stop love life killer queen best friend teotorr att pressur crazi littl thing call love bohemian rhapsodi,"Counter({'positive': 4, 'anticipation': 1, 'trust': 1})",positive
25095,B000GR187Q,lift heart newli revis choral edit twelv popular song st loui jesuit mani titl new keyboard instrument satb arrang definit edit creat help compos lend even greater rich flexibl endur favorit,Counter({'positive': 2}),positive
25103,B000GS5O8E,disc symphoni major k symphoni c major k symphoni major k b symphoni b flat major k db disc symphoni overtur e flat major k symphoni g major k b symphoni c major k k symphoni major k disc symphoni major k b symphoni major k symphoni overtur g major k symphoni b flat major k,Counter({'positive': 12}),positive
25104,B000GS73SS,sure hank done way tell use hate honki tonk someday someday rock n roll til cow come home behind wire stop special consider friend perfect love time lipstick collar talkin fast play innoc,"Counter({'positive': 3, 'anticipation': 2, 'sadness': 1, 'trust': 1})",positive
25126,B000GUK5UY,japanes press first singl releas scissor sister advanc upcom second full length album featur elton john piano titl track back linu love vocal edit song polydor,"Counter({'positive': 2, 'negative': 1, 'anticipation': 1})",positive
25130,B000GVDAFK,battl kuwait red wing lyin bayou cotton eye joe mama allow big mamou orang blossom special silver eagl ragtim anni diggi liggi lo alway love alabama fire breathin fiddlin man,"Counter({'positive': 4, 'negative': 1, 'fear': 1})",positive
25142,B000GW8TOQ,part two two enhanc cd singl debut french duo featur vocalist mani hoffman best known vocalist co writer superman lover success starlight singl writer produc pierr hinard luci power bass line fantast string arrang also featur come singer songwrit sophi delila work mc solaar jamiroquai featur seven version luci extend live saver mix k klass mix iian blueston remix k klass pharmaci dub live saver radio mix origin radio mix enhanc club video purpl,"Counter({'positive': 7, 'anticipation': 2})",positive
25151,B000GX3GBG,strong song style coupl blister musicianship creat power backbon one l excit new band song style incorpor mani influenc rang misfit frank sinatra song leav breathless music rage curs perfect juxtaposit shawne bite deepli person lyric strong punk side fydolla ho temper softer vulner side back alley talk content maja thurup bend unti thrill ink believ,"Counter({'positive': 2, 'trust': 2, 'anticipation': 2, 'sadness': 1, 'anger': 1, 'negative': 1})",positive
25154,B000GX89IQ,vienna master seri classic freder chopin world famou piano music vol,"Counter({'positive': 2, 'sadness': 1})",positive
25172,B000GYU17M,song record live flevo spark music solid rock import cd sk,"Counter({'positive': 2, 'sadness': 1})",positive
25175,B000GYW2CE,feed poor oh littl sister singer problem rock roll love reason let go protect child love haight street loav smelli fish love heaven endless life dream select record live vineyard march,"Counter({'positive': 7, 'sadness': 1, 'anticipation': 1, 'trust': 1})",positive
25177,B000GYXZ8E,street level radio spot line long hard road sky come back elvi left build lay burden toxic tea toast shall save bonu track children nimrod solid rock leav god handl right america,"Counter({'positive': 6, 'anticipation': 3, 'trust': 2, 'negative': 1})",positive
25179,B000GZ05SG,origin track plu bonu radio interview releas solid rock,"Counter({'positive': 3, 'anticipation': 1})",positive
25187,B000H0IGRM,track waitin long soul octob afternoon love machin enough enough true love trust pledg love voodoo candl,"Counter({'positive': 4, 'anticipation': 2, 'trust': 2})",positive
25188,B000H0MJE8,first releas cd bruno walter record schubert great c major symphoni symphoni wonder perform expertli remast provid excel mono sound coupl walter record wagner siegfri idyl manufactur look like mini lp even play surfac black,"Counter({'positive': 1, 'anticipation': 1, 'sadness': 1})",positive
25195,B000H13G08,band abl combin eclect array influenc undoubtedli identifi uniqu sound origin magnet name suggest southern blue root promin ingredi rock n roll concoct rest recip give distinguish flavor gold tooth comparison includ lenni kravitz soundgarden black crow king x urg overkil proudli acknowledg band content born today insid peephol hearsay play ground turnstyl trick send weight,"Counter({'positive': 5, 'trust': 4, 'sadness': 2, 'surprise': 1, 'anticipation': 1})",positive
25207,B000H36R52,servant prayer kind love amaz grace doxolog must love keep hold love dwell place god lead us along one day mine mine thing true,"Counter({'positive': 5, 'trust': 3, 'anticipation': 1})",positive
25208,B000H35O2Y,famili tie littl one life lullabi quiet kool aid mom eye famili friend faith grandma stori daddi ya wan na play ball memori place,"Counter({'positive': 2, 'trust': 1, 'anticipation': 1})",positive
25209,B000H3ASZ2,moonlight vermont clair de lune mona lisa smile take chanc love wee small hour love mani splendor thing way look tonight rhapsodi blue beauti fascin la vie en rose love shadow smile new york new work see,"Counter({'positive': 3, 'trust': 2, 'negative': 1, 'anticipation': 1, 'sadness': 1})",positive
25222,B000H4VXJ6,tracklist promiscu radio edit crazi radio live loung session promiscu josh desi remix promiscu video track,"Counter({'positive': 2, 'anticipation': 1})",positive
25225,B000H571K0,pleas honey pleas room mine mani time cheap love affair rachel end way alcatraz blue thought heart call name come home worri man blue ole liza jane two year,"Counter({'positive': 2, 'anticipation': 2, 'sadness': 2, 'negative': 1})",positive
25241,B000H6PCWI,star stripe king cotton manhatten beach hand across sea highschool cadet washinton post semper fide liberti bell thunder el capitan,"Counter({'positive': 3, 'trust': 1, 'negative': 1, 'joy': 1})",positive
25255,B000H7EUXO,shandeen lead vocal keyboard sean kinjo guitar brendan fitzgerald fiddl barn bass tim brown drum track celtic cd portland oregon base celtic band,"Counter({'positive': 1, 'anticipation': 1, 'trust': 1})",positive
25262,B000H7MLDK,cd fortun lie statu seeker tse jam kill hand light fuse get away afterlif one help set sun matter time live forev cd pull metropoli part fortun lie learn live caught web lift shadow dream perfect stranger,"Counter({'positive': 3, 'anticipation': 3, 'sadness': 2, 'fear': 2})",positive
25266,B000H82HSS,wing unleash talent work australian hard rock pioneer ac dc unbeliev track cd singl get copi rock today highway hell back black,"Counter({'positive': 4, 'sadness': 2, 'anticipation': 1})",positive
25270,B000H8HN0U,track fuch duet op handel halverson passacaglia handel halverson saraband con variazioni handel verm chaconn,"Counter({'positive': 2, 'anticipation': 1})",positive
25280,B000H9KZ4U,disc major g major surpris mit dem paukenschlag e major drum roll mit dem paukenwirbel roulement de timbal disc c minor e flat major inn major london london symphoni londr disc major miracl c major b flat major disc g major militari militar symphoni militair major clock die uhr l horlog b flat major,"Counter({'positive': 11, 'anticipation': 1, 'sadness': 1})",positive
25281,B000H9LOCC,garden amaz grace jesu love closer walk thee old rug cross friend jesu favorit fiddl dazzl theme intermezzo love stori mood music night phantom opera cherri pink appl blossom white brazil,"Counter({'positive': 5, 'sadness': 2, 'anticipation': 2, 'trust': 1, 'negative': 1})",positive
25291,B000HA3M30,track sonata c major cello piano op ballad c minor cello piano op adagio cello piano cinderella op march solo cello op waltz cello piano op suit cello piano op,"Counter({'positive': 3, 'anticipation': 1, 'fear': 1})",positive
25300,B000HAB4YY,spring concerto e major rv allegro largo e pianissimo sempr danza pastoral allegro summer concerto g major rv allegro non molto adagio presto presto autumn concerto f major rv allegro adagio allegro winter concerto f major rv allegro non molto largo allegro concerto per archi e organo major rv allegro grave allegro concerto per violoncello archi e cembalo g major rv allegro siciliana alla breve concerto per due flauti archi e cembalo c major rv allegro molto largo allegro concerto per dueviolini archi e cembalo b flat major rv allegro andant allegro concerto per mandolino archi e cembalo cmajor rv allegro largo allegro concerto per violino archi e cembalo del ritico e flat major rv allegro affasi andant presto concerto per archi e cembalo c major rv allegro andant allegro concerto per due oboi fagotto due corni violino archi e organo f major rv allegro largo allegro,"Counter({'positive': 32, 'trust': 3, 'fear': 1})",positive
25313,B000HAZJR2,reader digest world beauti melodi song somewher love lara theme chet atkin girl ipanema laurindo almeida mack knife gregg galbraith belong heart franci goya quando quando quando franci goya jalousi chet atkin high moon wayn moss everywher chet atkin blame bossa nova franci goya lullabi birdland lenni breau trio wave laurindo almeida aranjuez concerto excerpt david palmer one note samba jorg morel midnight chet atkin mona lisa franci goya perfidia franci goya greensleev jorg morel besam mucho franci goya green leav summer gregg galbraith vaya con dio franci goya,"Counter({'positive': 2, 'negative': 1, 'trust': 1})",positive
25314,B000HBACGE,play list invitacion fountain hallelujah love amaz thirsti friend love presenc ever sweet merci one thing ask noth wonder dwell name holi show power,"Counter({'positive': 2, 'trust': 2, 'anticipation': 1})",positive
25323,B000HCN5DA,two cd song collect classic countri track ballad jed clampett lester flatt earl scrugg alabam cowboy copa mile away home bobbi bare keep right hurtin johnni tillotson worri marti robbin right wrong wanda jackson togeth buck owen guess crazi jim reev big bad john jimmi dean sink bismark johnni horton let thank live bob luman v r c e tammi wynett window georg jone got patsi cline mama sang song bill anderson got tiger tail buck owen talk back trembl lip ernest ashworth devil woman marti robbin woman enough loretta lynn funni time slip away willi nelson world eddi arnold lonesom hawkshaw hawkin sweet dream patsi cline folsom prison blue johnni cash chug lug roger miller made milwauke famou made loser jerri lee lewi elus dream david houston tammi wynett time get phoenix glen campbel statu fool jack green ode billi joe bobbi gentri,"Counter({'positive': 7, 'anticipation': 6, 'negative': 4, 'sadness': 3, 'surprise': 2, 'trust': 2})",positive
25338,B000HDE2HW,radio edit instrument call hook,Counter({'positive': 1}),positive
25344,B000HDL0Q8,raindrop keep fallin head jerri whitman say littl prayer perri botkin jr magic moment franci goya long close joe reisman never fall love benni goodman look love nelson riddl world need love jo stafford pie piper paul weston alfi norman perciv casino royal arthur greenslad guy love le reid alway someth remind david firman one less bell answer beverli kelli young world singer walk billi may know way san jose joe reisman wive lover alan copeland reach arthur greenslad window world david whitak anyon heart nick ingman twenti four hour tulsa loui nunley hank levin know ken thorn,"Counter({'positive': 5, 'anticipation': 3, 'sadness': 1, 'negative': 1})",positive
25367,B000HF3I2A,tracklist morn let rock la la mean love world ye know highway loneli go break heart way valley told drive crazi,"Counter({'positive': 2, 'surprise': 1})",positive
25368,B000HF5PWG,love stori blood red,Counter({'positive': 1}),positive
25370,B000HFATX6,blueberri hill love tomorrow kiss guy littl town flirt great pretend tell laura love hey babi boyfriend back cool jerk soldier boy one fine day honeycomb almost lost mind rebel rememeb walkin sand duke earl sheila raindrop keep fall head,"Counter({'positive': 5, 'anticipation': 3, 'negative': 3, 'sadness': 3, 'surprise': 1})",positive
25385,B000HFXNP2,gon na love girl say homestead heart work art sorri odd wrong time learn one come close far lead use use,"Counter({'positive': 3, 'anticipation': 2, 'negative': 1})",positive
25399,B000HI7IDM,wolfgang amadeu mozart rondo moll kv andant piano concerto moll kv allegro romanc rondo allegro assai piano concerto dur kv allegro adagio allegro assai ussr state radio symphoni orchestra conductor sergei gorchakov alexand gauk record restor vista vera sound engin tamara badeyan,"Counter({'positive': 5, 'trust': 1})",positive
25406,B000HJ7R3M,cd piano concerto c minor piano trumpet string op allegro moderato allegro lento moderato allegro con brio piano concerto f major op allegro andant allegro three fantast danc op allegretto andantino allegretto total cristina ortiz piano bournemouth symphoni orchestra paavo berglund cd violin concerto minor op nocturn scherzo passacaglia andant cadenza violin concerto c sharp minor op moderato adagio adagio allegro total david oistrakh violin leningrad philharmon orchestra yevgeni mravinski concerto moscow philharmon orchestra gennadi rozhdestvenski concerto cd cello concerto op allegretto moderato cadenza allegro con moto cello concerto op largo allegretto allegretto total alexand ivashkin cello moscow symphoni orchestra valeri polyanski,"Counter({'positive': 9, 'trust': 4, 'negative': 1})",positive
25429,B000HLZ5NE,track list sun shine duppi conqueror trenchtown rock stop train concret jungl shot sheriff small axe belli full hungri bend low posit vibrat jah live natur mystic three littl bird satisfi soul zimbabw africa unit redempt song,"Counter({'positive': 3, 'anticipation': 2, 'sadness': 1, 'trust': 1, 'negative': 1, 'surprise': 1})",positive
25432,B000HMIMK6,king pumpin superior famili got perfect world titti ball bitch jellyfish hollywood kill brim,"Counter({'positive': 2, 'anticipation': 1, 'sadness': 1, 'fear': 1})",positive
25439,B000HNJDBC,print classic,Counter({'positive': 1}),positive
25463,B000HP0332,track list feed soul spirit rhythm mwe danc hot plepet sounou,"Counter({'positive': 2, 'anticipation': 1, 'anger': 1})",positive
25473,B000HRVGWC,japan issu melodiya master record,Counter({'positive': 1}),positive
25475,B000HRVT8S,return darkim allah g know bronx war stori wu tang killa bee album swarm know cat lace rza sick beat twelv jewelz gravediggaz nd album pick sickl shovel know raw banger releas live lab take wit return darkim allah g partner allahwis bring debut full length fame lab present g darkim allah allahwis first volum trilog g cd darkim wise cook illest track ever bless hip hop landscap youv heard singl block famou leav know what store shakim provid major beat fame lab crew final long await project readi releas limit edit cd press pick copi miss grimi gritti sound hip hop earli mid album raw track includ one special bonu track dug fame lab vault origin record made bang hard jeep cop anthem next kin strokin dont stop block famou time eat reunion phone call skit phone call unbreak code leav life music bonu track,"Counter({'positive': 12, 'anticipation': 11, 'sadness': 4, 'fear': 3, 'anger': 1, 'disgust': 1, 'trust': 1})",positive
25487,B000HTRM0A,martha vineyard radio compil eric lindel give time umphrey mcgee wine women song greg summerlin fight donavon frankenreit move dave true stori big girl tim easton next jame hunter peopl gon na talk hector stilt tongu tie dan vaillancourt dylan breath chuck mccabe like chri brown rival taylor brown octob sky garrison starr beauti lo angel paul manouso anoth day life marc doug la berardo harbor phil ayoub lie steal j rosal wade luci vincent fasten seatbelt garth adam ricochet,"Counter({'positive': 3, 'anticipation': 3, 'trust': 3, 'sadness': 2, 'negative': 1})",positive
25497,B000HW6LPO,tracklist prelud fugu c major cornet voluntari g major verset veni creator spiritu plein jeu fugu duo recit de cromorn dialogu sur le grand jeux prelud fugu e minor choral prelud ich hab mein sach gott heimgestellt prelud fugu major bwv procession organ suit gothiqu op introduct choral menuet gothiqu prier notr dame toccata,"Counter({'positive': 4, 'trust': 2, 'sadness': 1, 'anticipation': 1})",positive
25502,B000HX0E06,evelyn couch troubl marriag one seem take serious nurs home visit rel meet ninni threadgood outgo old woman tell stori idgi threadgood young woman alabama idgi inspir life evelyn learn assert build last friendship ninni,"Counter({'positive': 3, 'sadness': 1, 'anticipation': 1, 'trust': 1})",positive
25517,B000HY0WS4,record anoth friend apart san francisco ca jaquir king engin mix tom wait mule variat mix toast studio san francisco folk came lend crazi talent flesh tune rob burger tin hat trio play accordion matt fish comb dolor laid rock cello part content first time church cloth recov measur measur new coat new hat said wide eye full miracl somewher hide maid,"Counter({'positive': 6, 'anticipation': 3, 'trust': 2, 'fear': 2, 'disgust': 1, 'sadness': 1})",positive
25523,B000HZ0XCI,cd journey dj produc exclus express perform nicola matar willi graff featur music variou differ artist mo def fatboy slim dirti vega kyli minogu suprem be leisur telepopmusik royksopp terri walker miguel mig kid creme ben watt room oliv cheatham littl louie vega silicon soul puretin mica pari soulsearch groov foundat mani track epl fatboy slim remix make luv guess love beauti right divin diamond life citi peopl feelin love libr feel love first sight know addict bass bodyswerv beauti boy brazil telepopmusik,"Counter({'positive': 6, 'fear': 1, 'sadness': 1, 'anticipation': 1, 'surprise': 1, 'negative': 1})",positive
25526,B000HZQJ1M,lake superior walk song moon passag island hearth song ode orang camper prayer song big pine countri ride wave welcom home girl season hope,"Counter({'positive': 1, 'trust': 1, 'sadness': 1, 'anticipation': 1})",positive
25557,B000I1S2MO,ultra rare import russia includ complet extend version elois k theme elois repris lost love feel unchant melodi trident suit landsdown suit,"Counter({'positive': 2, 'sadness': 1})",positive
25559,B000I1ZYW0,classic rock magazin present tribut led zeppelin hot dog american dog leve break pig iron black dog hayse dixi babe gon na leav blackbud rock roll red star rebel commun breakdown live dicki tea one joe bonamassa featur jason bonham stairway heaven live rodrigo gabriela whole lotta love blond blond kashmir dread zeppelin time die black label societi immigr song live gotthard,"Counter({'positive': 4, 'anticipation': 4, 'negative': 3, 'sadness': 3, 'trust': 2, 'anger': 1, 'surprise': 1})",positive
25565,B000I244X4,excerpt tow mozart accomplish opera vienna master seri,"Counter({'positive': 2, 'anticipation': 1})",positive
25567,B000I2JDK8,contemporari american music live american compos perform david troy franci includ world premier record eight etud piano pulitz prize win compos ned rorem social mind inexhaust quotabl compos ned rorem defin concert surround intermiss well david troy franci piano recit sunday afternoon intermiss rorem confound stray socialit doubt doubl bless rest attent audienc neighborhood church pasadena local pianist compact program consist absorb whether lyric repos propuls furi plenti altern rorem eight etud compos year pulitz prize music franci aspect protean music well hand inde daunt technic studi franci also well mind play memori throughout recit level commit seldom found day among even aggress champion contemporari music lowel liebermann gargoyl four movement suit exhibit similar qualiti intens physic clariti franci possess control delic song adagio wit teas allegro athletic frame presto michael boustead classic jazzi littl prelud think chopin le club hot tobia picker auster poignant old lost river play tender care complet program franci offer gentli elabor version hymn friend jesu piec childhood album encor lo angel timesa pianist david franci anyth hit right note right tone right time ask perform add indefin element magic true interpret ned rorem pulitz prize winner musicdavid troy franci excit authorit perform combin virtuos music understand allow compos thought shine album american record event hair rais premier ned rorem etud also impass read give work cd includ gargoyl american music need pianist like lowel liebermann compos,"Counter({'positive': 12, 'anticipation': 11, 'trust': 9, 'sadness': 7, 'negative': 2, 'fear': 1, 'anger': 1})",positive
25570,B000I38C2M,russian import classic disco drum percuss keith forsey produc giorgio morod harold falt theme battlestar glactica destruct peac transmitt part adama theme love love love transmitt part explor theme battlestar galactica evolut,Counter({'positive': 4}),positive
25571,B000I3HM5U,eleanor rigbi everywher life love strawberri field forev fool hill sixti four michel nowher man yesterday someth girl,"Counter({'positive': 1, 'negative': 1})",positive
25577,B000I3TPOQ,classic rock love song disc thirti song everyon genesi jeff healey nazareth allanah mile,Counter({'positive': 3}),positive
25586,B000I4J6U8,classic coll romant piano classic,"Counter({'positive': 2, 'trust': 1})",positive
25589,B000I4WBL4,rise love crown rose canticl spirit hosanna loud hosanna soul exceed sorrow friend forsaken drop drop slow tear sure hath born grief master garden rose christ lay dead love bade welcom os justi bird flander field fallen missa brevi god shall wipe away tear hymn god lord remembr lord support us bird sing joy lord,"Counter({'positive': 6, 'anticipation': 5, 'trust': 4, 'sadness': 2, 'fear': 1})",positive
25591,B000I5D8QK,love dream fault piano concerto dazzl day pari promenad faint memori time forget perhap love millennium sunris follow anywher freedom summer gone blue autumn nostalgia souvenir mirabeau travel sad heart epilogu,"Counter({'positive': 2, 'sadness': 2, 'anticipation': 1, 'negative': 1, 'trust': 1})",positive
25595,B000I5U1M4,richard proulx choral music cathol cathedr singer mass citi missa emmanu schubert german mass,"Counter({'positive': 1, 'sadness': 1})",positive
25623,B000I7T41Q,track list baja pacifica closer magic touch love rock world littl tokyo without love daydream closet,"Counter({'positive': 3, 'anticipation': 1})",positive
25629,B000I8IETI,track list god glori w concerto tchaikovski great thou art w symphoni beethoven jesu love thee w sleeper wake bach deep deep love jesu w moonlight sonata beethoven holi holi holi w piano concerto rachmaninoff lean everlast arm w sonata c mozart still soul w finlandia sibeliu love let go w piano concerto mozart joy joy ador thee w symphoni beethoven faith look thee w pavan ravel,"Counter({'positive': 5, 'anticipation': 4, 'trust': 2})",positive
25639,B000IAGY0C,track play sad song paul simon mean alot paul simon flame paul simon dream neil sedaka ring rock neil sedaka ding dong toni orlando one johni river hole ground johni river real franki valley comm si bella franki valley pleas love forev tommi edward game tommi edward,"Counter({'positive': 2, 'trust': 2, 'anticipation': 1})",positive
25643,B000IAX6LC,timeless sound amaz grace voic echo magic calm histor cloister monk santo domingo de silo sing sublim music assur seren spirit gregorian chant,"Counter({'positive': 3, 'anticipation': 2, 'trust': 1, 'sadness': 1})",positive
25651,B000IC3BU6,regin velasquez reason enough track list feel real tonight kung kailan pa slip away w gari valenciano babalikang muli sana maulit muli reason enough say love damdamin ko sa yo hard say goodby w paul anka polycosm record philippin,"Counter({'positive': 3, 'anticipation': 1, 'trust': 1, 'surprise': 1})",positive
25652,B000IC1ZKE,california combo origin take system style rock introduc mediterranean cadenc band member armenian ancestri mosh pit friendli sound combin fact time signatur alway four four varieti got innov approach fast becom cooki cutter genr band realli show mettl folki success tread fine line worthi ethnic full nonsens rock stadium rocker bravo prove apex theori fulli capabl shift high gear occas demand content lull bye book aposs shhh bravo drown ink bullsh add mission right foot calm aisl alway,"Counter({'positive': 7, 'trust': 4, 'anticipation': 4, 'fear': 2, 'negative': 1})",positive
25666,B000IF2S5C,volum one english introduct harish bhimani shloka sarva dharma prarthana ashit desai choru vaishnava jan totradit karsan sagathiya hey jag trata jagjit singh man lago mero yaar shankar mahadevan harijan hoy tene shubha mudgal janaki nath sahay kare pandit ajoy chakravarti je ka ranjal ganjal suresh wadkar chaakar rakho ji hema desai ram kaho rehman kaho kavita krishnamurti premal jyoti taro ashit desai lead kindli light arvada center choral colorado symphoni orchestra denver usa excerpt prayer speechesenglish mahatma gandhi volum two vaishnav jan ashit hema desai utha jag musafir shankar mahadevan payo ji main hema desai shree ramchandra suresh wadkar choru harin bhajata haji koi hema desai dinan dukha haran pandit ajoy chakravarti mere giridhar gopal shubha mudgal mosam kaun kutil khalkami suresh wadkar sadho man ka maan tyago alap desai jhini jhini bini suresh wadkar mangal mandir kholo suresh wadkar raghupati raghava ashit desai choru excerpt prayer speecheshindi mahatma gandhi,"Counter({'positive': 3, 'trust': 3, 'anticipation': 1})",positive
25677,B000IG6F0K,classic bolero pop noma contigo cuatro lagrima llega llega la primera en saberlo viajera cien ano pensando en ti que alla tu tratam bien,"Counter({'positive': 1, 'surprise': 1})",positive
25698,B000IJS0U0,symphoni b flat major symphoni e flat major,Counter({'positive': 2}),positive
25701,B000IJTN8S,romant favorit perform classic grand piano track l one true love two becom one love forev pachelbel canon ave maria preciou moment jesu joy man desir air g string holst jupit beauti beachspr maria shenandoah,"Counter({'positive': 4, 'trust': 2, 'anticipation': 1, 'negative': 1})",positive
25702,B000IK0E44,symphoni c major k symphoni g major k symphoni major k,Counter({'positive': 3}),positive
25705,B000IKB6QE,reader digest music collect song bacharach david part timelss favorit collect,"Counter({'positive': 1, 'sadness': 1})",positive
25712,B000ILIU3K,speech martin luther king,Counter({'positive': 2}),positive
25731,B000IN16KM,toni bennett duet american classic,Counter({'positive': 2}),positive
